Job Title,Company Name,Company Location,Salary,Job Type,Job Description,Job Link
Senior Software Engineer,Cityblock Health,New York State,Not available,fulltime,We cross boundaries to partner with the data engineering team on cross-organizational platform management and also interact with python and DBT.,https://www.indeed.com/rc/clk?jk=68a8dab31c5dd036&bb=5SnNStQKbJ8kJZh7eXkadCKJCjxXK_OLXFGSe88iu0kalZzQu9QxXbMVudyMB5CJgE3yi1ba4DG5gLWfuHlPV2roeNpkK7RIjvQuSY3BOFa6t8PdcSUZbM0vS-ZMr-E5&xkcb=SoC067M39PF5S_ysXB0LbzkdCdPP&fccid=9f8fb49912899420&vjs=3
"Software Development Engineer, New Service","Amazon Development Center U.S., Inc.","New York, NY",Not available,fulltime,"3+ years of full , development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations…",https://www.indeed.com/rc/clk?jk=1bdd8a2ac2cbf641&bb=5SnNStQKbJ8kJZh7eXkadCKJCjxXK_OLzQH_WrFFrKLKqvK5J7ZWf1uF6kCcoURauqFt51Ly42-GY0hjOPPFl_RhBP962AQtHZ4_AiYIjXhPuhEUYm4mzg%3D%3D&xkcb=SoAA67M39PF5S_ysXB0KbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
Software Engineer - Media Services,Apple,"New York, NY",Not available,fulltime,"Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s…",https://www.indeed.com/rc/clk?jk=3dbb9cc6f6470ecc&bb=5SnNStQKbJ8kJZh7eXkadHx4f3dnWM5jQPw_jdNZU90V4S8FTncsHqKymtYC8TtmvZQHbCJgR721un39ragw8KHEpMo4P1evZ-xsHkYqvu1328hlhwtfCQ%3D%3D&xkcb=SoAp67M39PF5S_ysXB0IbzkdCdPP&fccid=c1099851e9794854&vjs=3
Lead Software Engineer- Frontend,JPMorgan Chase & Co,"New York, NY 10172",Not available,fulltime,"Demonstrated proficiency in , applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,…",https://www.indeed.com/rc/clk?jk=fdd17eb3a6f40d0d&bb=5SnNStQKbJ8kJZh7eXkadBMSW4YFA9qr3Ch4VdGO5Sp0OJcJr8cywUFsZ5xjlyqlFl0IInW4-yp1V1kZ96Qi8jpHsBH5qbOpQUX_aC-hyoXLOp21kYZaNA%3D%3D&xkcb=SoCn67M39PF5S_ysXB0PbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3
Software Engineer II,Fanatics Inc.,"New York, NY",Not available,fulltime,"Understanding of security best practices in , development.,You will work closely with stakeholders to understand their needs and translate them into…",https://www.indeed.com/rc/clk?jk=b28a49962478898b&bb=5SnNStQKbJ8kJZh7eXkadBMSW4YFA9qrwk4LTAr78hQSbGMUfKRFT-XMg5ONGX5MoPTSHLsfAv3LN-8UC1_44JD1eSQd00HNhgPpPsmwUz4UErAKTQ9tQ5572RjL1iTE&xkcb=SoAT67M39PF5S_ysXB0ObzkdCdPP&fccid=316c778b7bc10b48&vjs=3
"Software Development Engineer, Amazon Connect Cases (AWS)","Amazon Development Center U.S., Inc.","New York, NY",Not available,fulltime,"Experience mentoring junior , , to improve their skills, and make them more effective, product , engineers.",https://www.indeed.com/rc/clk?jk=299746779f67831a&bb=5SnNStQKbJ8kJZh7eXkadBfhrAnyw_KVakJqs5knoui12-cr59-NTzNFDjr5SjQObzUfjVl6FKHt6CDnAHiPq2OI2k8knGN2lDUM1bjZWQfgUsX_6amneQ%3D%3D&xkcb=SoCO67M39PF5S_ysXB0NbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
"Software Development Engineer, Twitch Advertising",Amazon Advertising LLC,"New York, NY",Not available,fulltime,"As a , development ,, your technical leadership will be instrumental in building low-latency, highly scalable systems enabling thousands of…",https://www.indeed.com/rc/clk?jk=0d03fd947a69d7ab&bb=5SnNStQKbJ8kJZh7eXkadLTeMWzO7ZeytSWhFUNwSRPwLIGVrnwnhg81ZR2MfdDZlUeUClbGcxrl7miNhSlgZetCyoeeRiRrD8CCO0XjFL6IDSe8v2lB6A%3D%3D&xkcb=SoA667M39PF5S_ysXB0MbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
Principal Software Engineer - Parametric,Morgan Stanley,"Hybrid work in New York, NY 10036",Not available,fulltime,The set of services will maintain persistent database on the cloud and require sourcing data from wide variety of data sources such as Bloomberg and drive…,https://www.indeed.com/rc/clk?jk=a59fb67576b8b613&bb=5SnNStQKbJ8kJZh7eXkadFs4ly94BWvNPtF9ghs8nUSzafWIJzhfQlsuv09fMBYN3qgH9xxmAsUVjnrSlCjwPpGRuzDiEsnsG4DcaiAAjdZA8npN-Ah9dg%3D%3D&xkcb=SoDT67M39PF5S_ysXB0DbzkdCdPP&fccid=0c39fb2c91742dcf&vjs=3
"Software Engineer II, Backend - Uber Connect & Direct",Uber,"New York, NY",Not available,fulltime,"Excellent coding abilities in any of the following (Go, Java, python, C++, Etc).,Collaborate and work within a team with other ,, Product Managers,…",https://www.indeed.com/rc/clk?jk=5a0655a308bea3e7&bb=5SnNStQKbJ8kJZh7eXkadOtdVDHiEnjbmDMkscDAgc46BBFGQ7xtAKChyrtk-sfuPng0ZRk68vgKcOgtHReKrCiHPDAsmA2zw-enhb88UN5jLcp4BOxsDQlikGdZOgWK&xkcb=SoBn67M39PF5S_ysXB0CbzkdCdPP&fccid=f766f8bfbc3effb7&vjs=3
Software Engineer II,Bank of America,"New York, NY",Not available,fulltime,"Experience with building complex platforms, on both client and server-side development.,This job is responsible for developing and delivering complex…",https://www.indeed.com/rc/clk?jk=91f9d94b695ee0a7&bb=5SnNStQKbJ8kJZh7eXkadJMEGhQHjyiPdwVhezim5y5n3v9YhN1G7l-YnpWtx29uFSEty07pwP_EyXRnIF1mcFHvWGK9t4CzlnzilYagwquiXJVIkMu2qg%3D%3D&xkcb=SoD667M39PF5S_ysXB0BbzkdCdPP&fccid=5bd99dfa21c8a490&vjs=3
